x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
16.65,-21.75,0
15.25,18.45,0
-12.15,-6.65,0
19.35,-17.15,0
19.85,15.05,0
24.85,-7.95,0
15.05,17.05,0
19.65,18.65,0
-11.15,-6.25,0
2.15,20.45,0
5.15,15.55,0
-4.15,-14.75,0
-0.15,0.35,0
15.35,4.15,0
21.15,-20.15,0
16.65,-2.65,0
-4.35,23.65,0
11.95,-16.05,0
1.25,24.15,0
17.35,13.15,0
17.65,-6.15,0
-0.35,-4.15,0
12.05,-1.55,0
-9.55,-11.05,0
-15.55,-20.35,0
-5.85,-20.35,0
-16.35,-23.75,0
11.05,3.15,0
-6.35,-11.55,0
-17.85,7.35,0
16.95,2.45,0
9.15,22.25,0
-7.25,13.85,0
-22.15,10.75,0
-20.55,-3.05,0
-22.45,-18.15,0
-2.15,-9.55,0
-16.05,3.35,0
-20.15,-21.85,0
15.45,-6.35,0
-10.95,-23.25,0
-22.05,-5.05,0
0.25,18.45,0
-15.45,4.85,0
1.15,-10.75,0
9.65,-3.35,0
-11.55,2.05,0
15.55,10.55,0
10.65,15.05,0
21.75,-11.35,0
-1.95,9.95,0
24.85,-10.55,0
-15.55,-17.35,0
-9.95,1.55,0
8.35,-7.05,0
-12.55,-6.45,0
-22.35,16.45,0
5.85,17.85,0
22.65,-6.45,0
-4.15,0.25,0
-17.15,4.85,0
3.95,-4.95,0
15.25,-0.75,0
-0.35,7.25,0
-10.95,-17.85,0
22.15,18.45,0
3.95,-21.65,0
10.05,-9.45,0
3.75,-3.75,0
-24.75,5.55,0
-24.75,-15.75,0
-6.35,23.05,0
7.95,-1.95,0
-18.05,18.55,0
12.45,-17.95,0
-6.55,-10.55,0
16.85,13.55,0
-5.85,-15.45,0
-1.65,16.25,0
-17.35,5.85,0
1.55,24.25,0
-12.05,5.95,0
-22.75,13.85,0
7.05,2.65,0
-13.35,-12.05,0
-7.85,6.25,0
0.15,21.85,0
19.55,23.05,0
8.05,-11.45,0
20.05,-17.95,0
-15.15,-21.45,0
20.15,10.65,0
14.15,15.15,0
22.05,-10.05,0
-6.35,-14.35,0
-13.95,23.05,0
-7.75,7.85,0
21.15,-5.75,0
-21.45,-2.45,0
-4.55,17.45,0
23.85,-6.45,0
9.65,3.95,0
-13.65,-20.25,0
16.05,7.35,0
-23.85,1.85,0
17.05,3.05,0
-0.85,23.65,0
-20.35,11.75,0
-5.45,-17.65,0
-8.05,-9.45,0
10.15,20.65,0
-0.15,-12.75,0
-13.15,-7.45,0
-9.35,-11.65,0
7.85,9.65,0
-8.05,-11.85,0
-18.65,16.35,0
13.55,16.05,0
-7.95,15.55,0
4.25,8.25,0
5.15,-6.05,0
13.95,-16.25,0
17.75,-18.95,0
21.55,3.15,0
12.15,-2.25,0
-24.15,2.95,0
-2.75,-2.85,0
23.85,-10.65,0
-5.65,9.85,0
-15.75,24.85,0
15.55,19.35,0
19.55,-13.05,0
-9.15,-22.35,0
15.75,1.15,0
